DPSE 20A20S;Synchronicity;N Sample
4,273587281;20A;1
-2,896272634;20A;2
-3,188085967;20A;3
-2,283446416;20A;4
1,02281669;20A;5
-1,328137046;20A;6
-7,272614186;20A;7
1,880095323;20A;8
4,017351113;20A;9
-3,84228698;20A;10
-8,680539137;20A;11
-3,039342683;20A;12
2,265726105;20A;13
-3,293757952;20A;14
-1,486137757;20A;15
-4,856425748;20A;16
-4,615071938;20A;17
-0,339502805;20A;18
3,959876108;20A;19
-4,264549238;20A;20
-6,413327814;20A;21
-1,693777887;20A;22
-2,35179852;20A;23
-7,770982992;20S;24
-2,794653333;20S;25
3,765022059;20S;26
-1,975158466;20S;27
-5,517788705;20S;28
-2,043893721;20S;29
-13,23960325;20S;30
-2,256795943;20S;31
-0,25410109;20S;32
4,0711172;20S;33
1,144351122;20S;34
-2,914546309;20S;35
-0,581551908;20S;36
-5,842312631;20S;37
-1,659651464;20S;38
0,907143467;20S;39
-2,852816622;20S;40
1,031209965;20S;41
2,16806508;20S;42
-8,432785614;20S;43
2,709498725;20S;44
-8,986085465;20S;45
-2,117063984;20S;46
