PD 20A20S;Synchronicity;N Sample
30,02433004;20A;1
23,05841759;20A;2
248,9664204;20A;3
64,4047144;20A;4
-30,9409769;20A;5
609,1762281;20A;6
61,87436243;20A;7
204,5392976;20A;8
0;20A;9
131,0878377;20A;10
16,52907588;20A;11
-135,2960657;20A;12
184,9125028;20A;13
35,55655961;20A;14
313,3723847;20A;15
-35,07234783;20A;16
-112,0854931;20A;17
166,9805859;20A;18
26,12579588;20A;19
0;20A;20
69,24323189;20A;21
-26,47168577;20A;22
422,0737424;20A;23
248,3258439;20S;24
-259,2777797;20S;25
207,0939095;20S;26
134,7383778;20S;27
58,63984737;20S;28
111,2170837;20S;29
-55,15715421;20S;30
176,2636245;20S;31
-18,62440427;20S;32
67,12495887;20S;33
78,46891284;20S;34
90,1993652;20S;35
99,86818293;20S;36
238,2020245;20S;37
85,95969724;20S;38
66,60609419;20S;39
168,668278;20S;40
37,8651437;20S;41
25,02326709;20S;42
300,0021439;20S;43
107,1141868;20S;44
51,14906297;20S;45
-30,02433004;20S;46
