RHI Index;Synchronicity;N Sample;RHI Index;Elongation;N Sample
0,833333333;20A;3;1,833333333;20S;2
3,666666667;20A;5;3,666666667;20S;6
4;20A;7;1,333333333;20S;10
-0,333333333;20A;9;0,833333333;20S;12
1,666666667;20A;17;1,333333333;20S;14
1,5;20A;20;3;20S;16
3,833333333;20A;21;5;20S;18
1;20A;23;3;20S;22
-1,333333333;20A;25;2,333333333;20S;26
3,166666667;20A;27;1,5;20S;29
3;20A;28;3,666666667;20S;31
3,333333333;20A;34;2,5;20S;35
-1,333333333;20A;41;3;20S;37
2,666666667;20A;42;4,166666667;20S;39
1,166666667;20A;44;5;20S;43
-0,333333333;20A;47;2,166666667;20S;49
0,666666667;20A;48;2,833333333;20S;50
3,166666667;20A;52;5;20S;53
0;20A;56;3,333333333;20S;54
0,5;20A;59;1,333333333;20S;57
-0,666666667;20A;61;4,333333333;20S;62
2,5;20A;65;4,333333333;20S;64
1,666666667;20A;67;4,333333333;20S;68
1,833333333;20S;2;3;40S;1
3,666666667;20S;6;-0,166666667;40S;8
1,333333333;20S;10;3,833333333;40S;11
0,833333333;20S;12;3,166666667;40S;13
1,333333333;20S;14;3,5;40S;15
3;20S;16;4;40S;19
5;20S;18;2,833333333;40S;24
3;20S;22;2,833333333;40S;30
2,333333333;20S;26;5,333333333;40S;32
1,5;20S;29;3,5;40S;33
3,666666667;20S;31;2,833333333;40S;36
2,5;20S;35;4;40S;38
3;20S;37;3,666666667;40S;40
4,166666667;20S;39;1,833333333;40S;45
5;20S;43;1,5;40S;46
2,166666667;20S;49;3,333333333;40S;51
2,833333333;20S;50;3,5;40S;55
5;20S;53;2,333333333;40S;58
3,333333333;20S;54;1,833333333;40S;60
1,333333333;20S;57;2,5;40S;63
4,333333333;20S;62;1;40S;66
4,333333333;20S;64;4;40S;69
4,333333333;20S;68;0,333333333;40S;4
